Fecha,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegCP
2011/01/01 00:00:00,11722.0,12055,38.51,38.37,0.00,0.14,41.57,41.48,0.00,0.09,36,29,12214,6.24
2011/01/01 01:00:00,11253.0,11430,36.86,36.75,0.00,0.11,34.91,34.82,0.00,0.09,36,29,11573,9.18
2011/01/01 02:00:00,10459.0,10966,35.92,35.91,0.00,0.01,35.46,35.29,0.00,0.17,35,29,11114,7.15
2011/01/01 03:00:00,10531.0,10725,35.94,35.91,0.00,0.03,34.14,33.97,0.00,0.17,35,30,10863,7.40
2011/01/01 04:00:00,10841.0,10672,36.05,36.04,0.00,0.01,33.63,33.49,0.00,0.14,36,31,10827,9.69
2011/01/01 05:00:00,10661.0,10852,36.05,36.12,0.00,-0.07,34.25,34.11,0.00,0.14,36,31,11005,8.63
2011/01/01 06:00:00,11640.0,11255,37.29,37.51,0.00,-0.22,34.01,33.90,0.00,0.11,36,32,11415,9.70
2011/01/01 07:00:00,11972.0,11583,37.97,38.68,0.00,-0.71,30.08,30.02,0.00,0.06,35,31,11753,8.13
2011/01/01 08:00:00,12735.0,12238,39.36,44.27,-4.15,-0.76,32.28,32.23,0.00,0.05,35,32,12435,7.03
2011/01/01 09:00:00,13503.0,12877,38.88,39.50,0.00,-0.62,32.79,32.71,0.00,0.08,39,34,13073,9.47
2011/01/01 10:00:00,13847.0,13349,39.64,40.22,0.00,-0.58,36.15,36.06,0.00,0.09,43,35,13558,8.14
2011/01/01 11:00:00,13799.0,13510,39.68,40.20,0.00,-0.52,35.52,35.46,0.00,0.06,47,37,13726,6.80
2011/01/01 12:00:00,13639.0,13492,39.64,40.15,0.00,-0.51,34.44,34.40,0.00,0.04,49,38,13708,6.80
2011/01/01 13:00:00,13452.0,13314,38.52,39.00,0.00,-0.48,26.91,26.90,0.00,0.01,51,39,13522,6.80
2011/01/01 14:00:00,13299.0,13156,37.79,38.28,0.00,-0.49,21.95,21.95,0.00,0.00,53,39,13373,6.80
2011/01/01 15:00:00,13436.0,13364,38.01,38.54,0.00,-0.53,25.02,25.01,0.00,0.01,51,38,13574,6.80
2011/01/01 16:00:00,14728.0,14632,40.16,42.83,-2.01,-0.66,36.57,36.57,0.00,0.00,48,37,14858,6.80
2011/01/01 17:00:00,15682.0,15653,53.92,54.96,0.00,-1.04,43.09,43.09,0.00,0.00,46,37,15895,5.39
2011/01/01 18:00:00,15699.0,15504,50.63,51.56,0.00,-0.93,39.05,39.06,0.00,-0.01,46,37,15753,6.38
